id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
1,,October,ODI,Pakistan,West Indies,Pakistan,bat,Sharjah Cricket Stadium,337,278,Pakistan
2,London,June,ODI,Pakistan,West Indies,West Indies,field,Kennington Oval,170,172,West Indies
3,Abu Dhabi,November,ODI,Pakistan,West Indies,Pakistan,bat,Sheikh Zayed Stadium,232,208,Pakistan
4,Christchurch,February,ODI,Pakistan,West Indies,Pakistan,field,Hagley Oval,160,310,West Indies
5,St Lucia,April,ODI,West Indies,Pakistan,Pakistan,field,"Beausejour Stadium, Gros Islet",220,223,Pakistan
6,Guyana,April,ODI,West Indies,Pakistan,West Indies,field,Providence Stadium,208,282,Pakistan
7,Abu Dhabi,October,ODI,Pakistan,West Indies,Pakistan,bat,Sheikh Zayed Stadium,308,172,Pakistan
8,Karachi,December,ODI,Pakistan,West Indies,Pakistan,field,National Stadium,239,238,Pakistan
9,St Lucia,July,ODI,West Indies,Pakistan,West Indies,field,"Beausejour Stadium, Gros Islet",229,229,draw
10,Abu Dhabi,November,ODI,Pakistan,West Indies,West Indies,bat,Sheikh Zayed Stadium,295,294,Pakistan
11,Johannesburg,September,ODI,Pakistan,West Indies,West Indies,bat,New Wanderers Stadium,134,133,Pakistan
12,Dubai,February,ODI,Pakistan,West Indies,Pakistan,bat,ICC Academy,240,206,Pakistan
13,St Lucia,April,ODI,West Indies,Pakistan,West Indies,bat,"Beausejour Stadium, Gros Islet",221,222,Pakistan
14,Dubai,February,ODI,Pakistan,West Indies,West Indies,bat,Dubai International Cricket Stadium,70,216,West Indies
15,Guyana,July,ODI,West Indies,Pakistan,West Indies,field,Providence Stadium,98,224,Pakistan
16,,September,ODI,Pakistan,West Indies,West Indies,field,Sharjah Cricket Stadium,284,175,Pakistan
17,Jamaica,March,ODI,West Indies,Pakistan,Pakistan,field,"Sabina Park, Kingston",241,187,West Indies
18,Leicester,July,ODI,Pakistan,West Indies,Pakistan,field,Grace Road,117,285,West Indies
19,Barbados,May,ODI,West Indies,Pakistan,West Indies,field,"Kensington Oval, Bridgetown",154,248,West Indies
20,Guyana,July,ODI,West Indies,Pakistan,Pakistan,field,Providence Stadium,232,195,West Indies
21,Barbados,April,ODI,West Indies,Pakistan,Pakistan,field,"Kensington Oval, Bridgetown",171,177,Pakistan
22,Lahore,December,ODI,Pakistan,West Indies,Pakistan,field,Gaddafi Stadium,192,207,Pakistan
23,,December,ODI,Pakistan,West Indies,Pakistan,bat,Multan Cricket Stadium,209,212,West Indies
24,Mirpur,March,ODI,Pakistan,West Indies,West Indies,bat,Shere Bangla National Stadium,113,112,Pakistan
25,Faisalabad,December,ODI,Pakistan,West Indies,Pakistan,field,Iqbal Stadium,154,151,Pakistan
26,Guyana,April,ODI,West Indies,Pakistan,West Indies,bat,Providence Stadium,233,236,Pakistan
27,Nottingham,May,ODI,Pakistan,West Indies,West Indies,field,Trent Bridge,105,108,West Indies
28,Guyana,April,ODI,West Indies,Pakistan,West Indies,field,Providence Stadium,309,308,West Indies
29,Guyana,May,ODI,West Indies,Pakistan,Pakistan,bat,Providence Stadium,140,139,West Indies
30,St Lucia,July,ODI,West Indies,Pakistan,Pakistan,field,"Beausejour Stadium, Gros Islet",261,189,Pakistan
31,St Lucia,July,ODI,West Indies,Pakistan,Pakistan,field,"Beausejour Stadium, Gros Islet",242,243,Pakistan
