id,city,month,match_type,team,batsman,position,bowler,over_no,ball_no,venue,wicket_out,score
1,,February,ODI,Pakistan,Salman Butt,1,IK Pathan,0,1,Rawalpindi Cricket Stadium,False,0
2,,February,ODI,Pakistan,Salman Butt,1,IK Pathan,0,2,Rawalpindi Cricket Stadium,True,0
3,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,0,3,Rawalpindi Cricket Stadium,False,0
4,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,0,4,Rawalpindi Cricket Stadium,False,0
5,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,0,5,Rawalpindi Cricket Stadium,False,0
6,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,0,6,Rawalpindi Cricket Stadium,False,0
7,,February,ODI,Pakistan,Kamran Akmal,2,S Sreesanth,1,1,Rawalpindi Cricket Stadium,False,1
8,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,1,2,Rawalpindi Cricket Stadium,False,4
9,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,1,3,Rawalpindi Cricket Stadium,False,0
10,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,1,4,Rawalpindi Cricket Stadium,False,0
11,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,1,5,Rawalpindi Cricket Stadium,False,1
12,,February,ODI,Pakistan,Kamran Akmal,2,S Sreesanth,1,6,Rawalpindi Cricket Stadium,False,0
13,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,2,1,Rawalpindi Cricket Stadium,False,1
14,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,2,2,Rawalpindi Cricket Stadium,False,0
15,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,2,3,Rawalpindi Cricket Stadium,False,1
16,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,2,4,Rawalpindi Cricket Stadium,False,0
17,,February,ODI,Pakistan,Shoaib Malik,3,IK Pathan,2,5,Rawalpindi Cricket Stadium,False,1
18,,February,ODI,Pakistan,Kamran Akmal,2,IK Pathan,2,6,Rawalpindi Cricket Stadium,False,0
19,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,3,1,Rawalpindi Cricket Stadium,False,2
20,,February,ODI,Pakistan,Shoaib Malik,3,S Sreesanth,3,2,Rawalpindi Cricket Stadium,False,1
21,,February,ODI,Pakistan,Kamran Akmal,2,S Sreesanth,3,3,Rawalpindi Cricket Stadium,False,4
22,,February,ODI,Pakistan,Kamran Akmal,2,S Sreesanth,3,4,Rawalpindi Cricket Stadium,False,0
23,,February,ODI,Pakistan,Kamran Akmal,2,S Sreesanth,3,5,Rawalpindi Cricket Stadium,False,0
