id,month,city,match_type,batting_team,bowling_team,run_rate_first_ten,run_rate_second_ten,run_rate_third_ten,run_rate_forth_ten,run_rate_fifth_ten
1,October,,ODI,Pakistan,West Indies,6,5,7,5,9
2,October,,ODI,West Indies,Pakistan,5,4,4,8,5
3,June,London,ODI,Pakistan,West Indies,2,4,4,3,3
4,June,London,ODI,West Indies,Pakistan,5,3,3,5,0
5,November,Abu Dhabi,ODI,Pakistan,West Indies,4,3,3,6,5
6,November,Abu Dhabi,ODI,West Indies,Pakistan,3,3,4,5,4
7,February,Christchurch,ODI,West Indies,Pakistan,4,4,6,5,10
8,February,Christchurch,ODI,Pakistan,West Indies,2,6,4,2,0
9,April,St Lucia,ODI,West Indies,Pakistan,5,3,4,4,3
10,April,St Lucia,ODI,Pakistan,West Indies,3,3,4,5,4
11,April,Guyana,ODI,Pakistan,West Indies,5,4,4,5,9
12,April,Guyana,ODI,West Indies,Pakistan,5,3,5,5,1
13,October,Abu Dhabi,ODI,Pakistan,West Indies,7,3,7,6,6
14,October,Abu Dhabi,ODI,West Indies,Pakistan,4,3,3,3,1
15,December,Karachi,ODI,West Indies,Pakistan,4,3,4,5,5
16,December,Karachi,ODI,Pakistan,West Indies,4,5,5,4,3
17,July,St Lucia,ODI,Pakistan,West Indies,3,3,3,5,7
18,July,St Lucia,ODI,West Indies,Pakistan,4,2,4,3,8
19,November,Abu Dhabi,ODI,West Indies,Pakistan,6,6,4,5,6
20,November,Abu Dhabi,ODI,Pakistan,West Indies,4,4,6,6,7
21,September,Johannesburg,ODI,West Indies,Pakistan,3,2,5,1,0
22,September,Johannesburg,ODI,Pakistan,West Indies,4,3,5,0,0
23,February,Dubai,ODI,Pakistan,West Indies,4,4,5,4,5
24,February,Dubai,ODI,West Indies,Pakistan,2,4,4,3,5
25,April,St Lucia,ODI,West Indies,Pakistan,3,3,3,4,7
26,April,St Lucia,ODI,Pakistan,West Indies,6,4,5,5,0
27,February,Dubai,ODI,West Indies,Pakistan,2,1,5,5,5
28,February,Dubai,ODI,Pakistan,West Indies,2,2,1,0,0
29,July,Guyana,ODI,Pakistan,West Indies,2,3,5,6,5
30,July,Guyana,ODI,West Indies,Pakistan,2,2,1,4,0
31,September,,ODI,Pakistan,West Indies,6,4,5,7,5
32,September,,ODI,West Indies,Pakistan,3,3,6,4,0
33,March,Jamaica,ODI,West Indies,Pakistan,4,2,4,5,7
34,March,Jamaica,ODI,Pakistan,West Indies,4,2,4,3,4
