id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
1,ODI,October,,1,Pakistan,Azhar Ali,West Indies,Sharjah Cricket Stadium,16
2,ODI,October,,2,Pakistan,Sharjeel Khan,West Indies,Sharjah Cricket Stadium,24
3,ODI,October,,3,Pakistan,Babar Azam,West Indies,Sharjah Cricket Stadium,123
4,ODI,October,,4,Pakistan,Shoaib Malik,West Indies,Sharjah Cricket Stadium,93
5,ODI,October,,5,Pakistan,Sarfraz Ahmed,West Indies,Sharjah Cricket Stadium,64
6,ODI,October,,6,Pakistan,Imad Wasim,West Indies,Sharjah Cricket Stadium,11
7,ODI,October,,7,Pakistan,Mohammad Rizwan,West Indies,Sharjah Cricket Stadium,6
8,ODI,October,,1,West Indies,J Charles,Pakistan,Sharjah Cricket Stadium,2
9,ODI,October,,2,West Indies,KC Brathwaite,Pakistan,Sharjah Cricket Stadium,41
10,ODI,October,,3,West Indies,DM Bravo,Pakistan,Sharjah Cricket Stadium,68
11,ODI,October,,4,West Indies,MN Samuels,Pakistan,Sharjah Cricket Stadium,58
12,ODI,October,,5,West Indies,D Ramdin,Pakistan,Sharjah Cricket Stadium,34
13,ODI,October,,6,West Indies,KA Pollard,Pakistan,Sharjah Cricket Stadium,25
14,ODI,October,,7,West Indies,CR Brathwaite,Pakistan,Sharjah Cricket Stadium,17
15,ODI,October,,8,West Indies,JO Holder,Pakistan,Sharjah Cricket Stadium,31
16,ODI,October,,9,West Indies,SP Narine,Pakistan,Sharjah Cricket Stadium,2
17,ODI,June,London,1,Pakistan,Imran Farhat,West Indies,Kennington Oval,2
18,ODI,June,London,2,Pakistan,Nasir Jamshed,West Indies,Kennington Oval,53
19,ODI,June,London,3,Pakistan,Mohammad Hafeez,West Indies,Kennington Oval,4
20,ODI,June,London,4,Pakistan,Asad Shafiq,West Indies,Kennington Oval,0
21,ODI,June,London,5,Pakistan,Misbah-ul-Haq,West Indies,Kennington Oval,98
22,ODI,June,London,6,Pakistan,Shoaib Malik,West Indies,Kennington Oval,0
23,ODI,June,London,7,Pakistan,Kamran Akmal,West Indies,Kennington Oval,2
24,ODI,June,London,8,Pakistan,Wahab Riaz,West Indies,Kennington Oval,6
25,ODI,June,London,9,Pakistan,Saeed Ajmal,West Indies,Kennington Oval,3
26,ODI,June,London,10,Pakistan,Junaid Khan,West Indies,Kennington Oval,0
27,ODI,June,London,11,Pakistan,Mohammad Irfan,West Indies,Kennington Oval,2
28,ODI,June,London,1,West Indies,CH Gayle,Pakistan,Kennington Oval,46
29,ODI,June,London,2,West Indies,J Charles,Pakistan,Kennington Oval,9
30,ODI,June,London,3,West Indies,DM Bravo,Pakistan,Kennington Oval,0
31,ODI,June,London,4,West Indies,MN Samuels,Pakistan,Kennington Oval,31
32,ODI,June,London,5,West Indies,RR Sarwan,Pakistan,Kennington Oval,1
33,ODI,June,London,6,West Indies,KA Pollard,Pakistan,Kennington Oval,33
34,ODI,June,London,7,West Indies,DJ Bravo,Pakistan,Kennington Oval,20
35,ODI,June,London,8,West Indies,D Ramdin,Pakistan,Kennington Oval,15
36,ODI,June,London,9,West Indies,SP Narine,Pakistan,Kennington Oval,12
37,ODI,June,London,10,West Indies,KAJ Roach,Pakistan,Kennington Oval,5
